,SEASON_ID,GAME_ID,MATCHUP,GAME_DATE,TEAM_ID,Date,VH,Team,Final,Open,Close,ML
0,,,,,,2007-10-30,V,POR,97,184,189.5,900
1,,,,,,2007-10-30,H,SAS,106,12.5,13,-1400
2,,,,,,2007-10-30,V,UTA,117,214.5,212,100
3,,,,,,2007-10-30,H,GSW,96,3,1,-120
4,,,,,,2007-10-30,V,HOU,95,2.5,5,-230
5,,,,,,2007-10-30,H,LAL,93,191,199,190
6,,,,,,2007-10-31,V,PHI,97,190,191,255
7,,,,,,2007-10-31,H,TOR,106,6.5,6.5,-305
8,,,,,,2007-10-31,V,WAS,110,200,1.5,-125
9,,,,,,2007-10-31,H,IND,119,1.5,203.5,105
10,,,,,,2007-10-31,V,MIL,83,198.5,197,245
11,,,,,,2007-10-31,H,ORL,102,8,6.5,-295
12,,,,,,2007-10-31,V,CHI,103,188,186,105
13,,,,,,2007-10-31,H,BKN,112,2,1.5,-125
14,,,,,,2007-10-31,V,DAL,92,3,2.5,-140
15,,,,,,2007-10-31,H,CLE,74,186,184,120
16,,,,,,2007-10-31,V,SAS,104,7,6.5,-250
17,,,,,,2007-10-31,H,MEM,101,198,201,210
18,,,,,,2007-10-31,V,SAC,90,193,190.5,425
19,,,,,,2007-10-31,H,NOP,104,10,9.5,-525
20,,,,,,2007-10-31,V,OKC,103,213,217.5,625
21,,,,,,2007-10-31,H,DEN,120,10.5,11.5,-825
22,,,,,,2007-11-01,V,DET,91,4,4,-190
23,,,,,,2007-11-01,H,MIA,80,181,178.5,160
24,,,,,,2007-11-01,V,HOU,106,191,193,140
25,,,,,,2007-11-01,H,UTA,95,3.5,3,-160
26,,,,,,2007-11-01,V,PHX,106,9,12,-725
27,,,,,,2007-11-01,H,OKC,99,223,224.5,575
28,,,,,,2007-11-02,V,MIL,99,200,196.5,150
29,,,,,,2007-11-02,H,CHA,102,2.5,4,-170
30,,,,,,2007-11-02,V,DET,116,184,183.5,150
31,,,,,,2007-11-02,H,ORL,92,2.5,4,-170
32,,,,,,2007-11-02,V,MIA,85,186.5,192,235
33,,,,,,2007-11-02,H,IND,87,6.5,6.5,-275
34,,,,,,2007-11-02,V,TOR,106,192.5,193.5,155
35,,,,,,2007-11-02,H,BKN,69,5,4,-175
36,,,,,,2007-11-02,V,DAL,94,6,5.5,-250
37,,,,,,2007-11-02,H,ATL,101,192,191,210
38,,,,,,2007-11-02,V,NYK,106,186.5,186,210
39,,,,,,2007-11-02,H,CLE,110,7.5,6,-250
40,,,,,,2007-11-02,V,WAS,83,208,205.5,285
41,,,,,,2007-11-02,H,BOS,103,6,7.5,-335
42,,,,,,2007-11-02,V,POR,93,192,203,275
43,,,,,,2007-11-02,H,NOP,113,8,7.5,-325
44,,,,,,2007-11-02,V,DEN,99,8.5,7.5,-375
45,,,,,,2007-11-02,H,MIN,91,209,208.5,315
46,,,,,,2007-11-02,V,PHI,96,189,190,400
47,,,,,,2007-11-02,H,CHI,85,9.5,9.5,-500
48,,,,,,2007-11-02,V,SAC,80,190.5,191,1200
49,,,,,,2007-11-02,H,SAS,96,14.5,14.5,-2000
50,,,,,,2007-11-02,V,LAL,119,217,215.5,365
51,,,,,,2007-11-02,H,PHX,98,10,8,-435
52,,,,,,2007-11-02,V,GSW,114,209,211,105
53,,,,,,2007-11-02,H,LAC,120,2,1.5,-125
54,,,,,,2007-11-03,V,BKN,93,2.5,3,-150
55,,,,,,2007-11-03,H,PHI,88,186.5,186.5,130
56,,,,,,2007-11-03,V,ORL,94,199,197.5,110
57,,,,,,2007-11-03,H,WAS,82,2,1,-130
58,,,,,,2007-11-03,V,IND,121,211.5,211.5,180
59,,,,,,2007-11-03,H,MEM,111,4.5,5.5,-220
60,,,,,,2007-11-03,V,CHI,72,2.5,4,-175
61,,,,,,2007-11-03,H,MIL,78,193.5,193,155
62,,,,,,2007-11-03,V,POR,80,203.5,203,700
63,,,,,,2007-11-03,H,HOU,89,12,11.5,-1000
64,,,,,,2007-11-03,V,SAC,102,189.5,189,1500
65,,,,,,2007-11-03,H,DAL,123,14.5,15.5,-3000
66,,,,,,2007-11-03,V,GSW,110,212.5,215.5,425
67,,,,,,2007-11-03,H,UTA,133,8.5,9.5,-550
68,,,,,,2007-11-04,V,BOS,98,192,194,105
69,,,,,,2007-11-04,H,TOR,95,2,1.5,-125
70,,,,,,2007-11-04,V,OKC,101,209.5,208,250
71,,,,,,2007-11-04,H,LAC,115,6,6.5,-300
72,,,,,,2007-11-04,V,MIN,93,192.5,193,355
73,,,,,,2007-11-04,H,NYK,97,10,9,-425
74,,,,,,2007-11-04,V,CHA,90,186,186.5,140
75,,,,,,2007-11-04,H,MIA,88,3,3.5,-160
76,,,,,,2007-11-04,V,ATL,91,188.5,191,290
77,,,,,,2007-11-04,H,DET,92,8.5,8,-350
78,,,,,,2007-11-04,V,NOP,93,216,214.5,185
79,,,,,,2007-11-04,H,DEN,88,6.5,5,-215
80,,,,,,2007-11-04,V,CLE,92,208.5,205,290
81,,,,,,2007-11-04,H,PHX,103,8,7.5,-350
82,,,,,,2007-11-04,V,UTA,109,2,205.5,-105
83,,,,,,2007-11-04,H,LAL,119,202,1,-115
84,,,,,,2007-11-05,V,HOU,98,190,189.5,170
85,,,,,,2007-11-05,H,DAL,107,5,4.5,-200
86,,,,,,2007-11-06,V,PHX,115,4,4,-195
87,,,,,,2007-11-06,H,CHA,83,210,207,165
88,,,,,,2007-11-06,V,ATL,82,190.5,188.5,160
