SEASON_ID,GAME_ID,MATCHUP,GAME_DATE,TEAM_ID_A,VH_A,TEAM_A,TEAM_ID_B,VH_B,TEAM_B,ML_A,ML_B,TOTAL_OPEN,TOTAL_CLOSE,PTS_SPR_OPEN,PTS_SPR_CLOSE
22007,20700001,SAS vs. POR,2007-10-30,1610612759,H,SAS,1610612757,V,POR,-1400,900,184,189.5,-12.5,-13
22007,20700002,LAL vs. HOU,2007-10-30,1610612747,H,LAL,1610612745,V,HOU,190,-230,191,199,2.5,5
22007,20700003,GSW vs. UTA,2007-10-30,1610612744,H,GSW,1610612762,V,UTA,-120,100,214.5,212,-3,-1
22007,20700004,TOR vs. PHI,2007-10-31,1610612761,H,TOR,1610612755,V,PHI,-305,255,190,191,-6.5,-6.5
22007,20700005,ORL vs. MIL,2007-10-31,1610612753,H,ORL,1610612749,V,MIL,-295,245,198.5,197,-8,-6.5
22007,20700006,IND vs. WAS,2007-10-31,1610612754,H,IND,1610612764,V,WAS,105,-125,200,203.5,1.5,1.5
22007,20700007,NJN vs. CHI,2007-10-31,1610612751,H,BKN,1610612741,V,CHI,-125,105,188,186,-2,-1.5
22007,20700008,CLE vs. DAL,2007-10-31,1610612739,H,CLE,1610612742,V,DAL,120,-140,186,184,3,2.5
22007,20700009,MEM vs. SAS,2007-10-31,1610612763,H,MEM,1610612759,V,SAS,210,-250,198,201,7,6.5
22007,20700010,NOH vs. SAC,2007-10-31,1610612740,H,NOP,1610612758,V,SAC,-525,425,193,190.5,-10,-9.5
22007,20700011,DEN vs. SEA,2007-10-31,1610612743,H,DEN,1610612760,V,OKC,-825,625,213,217.5,-10.5,-11.5
22007,20700012,MIA vs. DET,2007-11-01,1610612748,H,MIA,1610612765,V,DET,160,-190,181,178.5,4,4
22007,20700013,UTA vs. HOU,2007-11-01,1610612762,H,UTA,1610612745,V,HOU,-160,140,191,193,-3.5,-3
22007,20700014,SEA vs. PHX,2007-11-01,1610612760,H,OKC,1610612756,V,PHX,575,-725,223,224.5,9,12
22007,20700015,CHA vs. MIL,2007-11-02,1610612766,H,CHA,1610612749,V,MIL,-170,150,200,196.5,-2.5,-4
22007,20700016,ORL vs. DET,2007-11-02,1610612753,H,ORL,1610612765,V,DET,-170,150,184,183.5,-2.5,-4
22007,20700017,IND vs. MIA,2007-11-02,1610612754,H,IND,1610612748,V,MIA,-275,235,186.5,192,-6.5,-6.5
22007,20700018,NJN vs. TOR,2007-11-02,1610612751,H,BKN,1610612761,V,TOR,-175,155,192.5,193.5,-5,-4
22007,20700019,ATL vs. DAL,2007-11-02,1610612737,H,ATL,1610612742,V,DAL,210,-250,192,191,6,5.5
22007,20700020,CLE vs. NYK,2007-11-02,1610612739,H,CLE,1610612752,V,NYK,-250,210,186.5,186,-7.5,-6
22007,20700021,BOS vs. WAS,2007-11-02,1610612738,H,BOS,1610612764,V,WAS,-335,285,208,205.5,-6,-7.5
22007,20700022,NOH vs. POR,2007-11-02,1610612740,H,NOP,1610612757,V,POR,-325,275,192,203,-8,-7.5
22007,20700023,MIN vs. DEN,2007-11-02,1610612750,H,MIN,1610612743,V,DEN,315,-375,209,208.5,8.5,7.5
22007,20700024,CHI vs. PHI,2007-11-02,1610612741,H,CHI,1610612755,V,PHI,-500,400,189,190,-9.5,-9.5
22007,20700025,SAS vs. SAC,2007-11-02,1610612759,H,SAS,1610612758,V,SAC,-2000,1200,190.5,191,-14.5,-14.5
22007,20700026,PHX vs. LAL,2007-11-02,1610612756,H,PHX,1610612747,V,LAL,-435,365,217,215.5,-10,-8
22007,20700027,LAC vs. GSW,2007-11-02,1610612746,H,LAC,1610612744,V,GSW,-125,105,209,211,-2,-1.5
22007,20700028,PHI vs. NJN,2007-11-03,1610612755,H,PHI,1610612751,V,BKN,130,-150,186.5,186.5,2.5,3
22007,20700029,WAS vs. ORL,2007-11-03,1610612764,H,WAS,1610612753,V,ORL,-130,110,199,197.5,-2,-1
22007,20700030,MEM vs. IND,2007-11-03,1610612763,H,MEM,1610612754,V,IND,-220,180,211.5,211.5,-4.5,-5.5
22007,20700031,MIL vs. CHI,2007-11-03,1610612749,H,MIL,1610612741,V,CHI,155,-175,193.5,193,2.5,4
22007,20700032,HOU vs. POR,2007-11-03,1610612745,H,HOU,1610612757,V,POR,-1000,700,203.5,203,-12,-11.5
22007,20700033,DAL vs. SAC,2007-11-03,1610612742,H,DAL,1610612758,V,SAC,-3000,1500,189.5,189,-14.5,-15.5
22007,20700034,UTA vs. GSW,2007-11-03,1610612762,H,UTA,1610612744,V,GSW,-550,425,212.5,215.5,-8.5,-9.5
22007,20700035,TOR vs. BOS,2007-11-04,1610612761,H,TOR,1610612738,V,BOS,-125,105,192,194,-2,-1.5
22007,20700036,LAC vs. SEA,2007-11-04,1610612746,H,LAC,1610612760,V,OKC,-300,250,209.5,208,-6,-6.5
22007,20700037,NYK vs. MIN,2007-11-04,1610612752,H,NYK,1610612750,V,MIN,-425,355,192.5,193,-10,-9
22007,20700038,MIA vs. CHA,2007-11-04,1610612748,H,MIA,1610612766,V,CHA,-160,140,186,186.5,-3,-3.5
22007,20700039,DET vs. ATL,2007-11-04,1610612765,H,DET,1610612737,V,ATL,-350,290,188.5,191,-8.5,-8
22007,20700040,DEN vs. NOH,2007-11-04,1610612743,H,DEN,1610612740,V,NOP,-215,185,216,214.5,-6.5,-5
22007,20700041,PHX vs. CLE,2007-11-04,1610612756,H,PHX,1610612739,V,CLE,-350,290,208.5,205,-8,-7.5
22007,20700042,LAL vs. UTA,2007-11-04,1610612747,H,LAL,1610612762,V,UTA,-115,-105,202,205.5,-2,-1
22007,20700043,DAL vs. HOU,2007-11-05,1610612742,H,DAL,1610612745,V,HOU,-200,170,190,189.5,-5,-4.5
22007,20700044,CHA vs. PHX,2007-11-06,1610612766,H,CHA,1610612756,V,PHX,165,-195,210,207,4,4
22007,20700045,NJN vs. ATL,2007-11-06,1610612751,H,BKN,1610612737,V,ATL,-190,160,190.5,188.5,-4.5,-4
22007,20700046,NYK vs. DEN,2007-11-06,1610612752,H,NYK,1610612743,V,DEN,140,-160,213,211,2.5,3
22007,20700047,MIL vs. TOR,2007-11-06,1610612749,H,MIL,1610612761,V,TOR,140,-160,191,190,0,3
22007,20700048,MIN vs. ORL,2007-11-06,1610612750,H,MIN,1610612753,V,ORL,250,-300,190,186.5,7,6.5
22007,20700049,CHI vs. LAC,2007-11-06,1610612741,H,CHI,1610612746,V,LAC,-405,335,193,193,-7,-8.5
22007,20700050,HOU vs. SAS,2007-11-06,1610612745,H,HOU,1610612759,V,SAS,115,-135,185,183.5,0,2
22007,20700051,SAC vs. SEA,2007-11-06,1610612758,H,SAC,1610612760,V,OKC,-130,110,204,208,-3,-2
22007,20700052,LAL vs. NOH,2007-11-06,1610612747,H,LAL,1610612740,V,NOP,-155,135,207,205.5,-3.5,-3
22007,20700053,GSW vs. CLE,2007-11-06,1610612744,H,GSW,1610612739,V,CLE,-135,115,209,209.5,-1,-2
22007,20700054,TOR vs. ORL,2007-11-07,1610612761,H,TOR,1610612753,V,ORL,-200,170,186.5,191.5,-3,-4
22007,20700055,PHI vs. CHA,2007-11-07,1610612755,H,PHI,1610612766,V,CHA,-195,165,190,189,-3.5,-4
22007,20700056,ATL vs. PHX,2007-11-07,1610612737,H,ATL,1610612756,V,PHX,190,-230,208.5,207,5.5,5
22007,20700057,IND vs. LAC,2007-11-07,1610612754,H,IND,1610612746,V,LAC,-290,240,200.5,207.5,-5,-6.5
22007,20700058,BOS vs. DEN,2007-11-07,1610612738,H,BOS,1610612743,V,DEN,-295,245,203,202.5,-5.5,-6.5
22007,20700059,SAS vs. MIA,2007-11-07,1610612759,H,SAS,1610612748,V,MIA,-1200,800,185.5,180.5,-10.5,-11.5
22007,20700060,UTA vs. CLE,2007-11-07,1610612762,H,UTA,1610612739,V,CLE,-500,400,196,194.5,-8,-9
22007,20700061,SEA vs. MEM,2007-11-07,1610612760,H,OKC,1610612763,V,MEM,-110,-110,219.5,218.5,1.5,0
22007,20700062,POR vs. NOH,2007-11-07,1610612757,H,POR,1610612740,V,NOP,125,-145,202,201.5,2.5,2.5
22007,20700063,NJN vs. WAS,2007-11-08,1610612751,H,BKN,1610612764,V,WAS,-275,235,194,190,-6,-6
22007,20700064,CHI vs. DET,2007-11-08,1610612741,H,CHI,1610612765,V,DET,-120,100,184,182,-1.5,-1
22007,20700065,GSW vs. DAL,2007-11-08,1610612744,H,GSW,1610612742,V,DAL,275,-325,213.5,216,7.5,7.5
22007,20700066,PHI vs. TOR,2007-11-09,1610612755,H,PHI,1610612761,V,TOR,110,-130,188,187.5,1,2
22007,20700067,CHA vs. IND,2007-11-09,1610612766,H,CHA,1610612754,V,IND,-125,105,194.5,195,-3,-1.5
22007,20700068,BOS vs. ATL,2007-11-09,1610612738,H,BOS,1610612737,V,ATL,-430,360,194,193,-7,-8.5
22007,20700069,NYK vs. ORL,2007-11-09,1610612752,H,NYK,1610612753,V,ORL,-115,-105,198.5,201.5,-1,-1
22007,20700070,MIA vs. PHX,2007-11-09,1610612748,H,MIA,1610612756,V,PHX,315,-375,201,195.5,8.5,8
22007,20700071,WAS vs. DEN,2007-11-09,1610612764,H,WAS,1610612743,V,DEN,110,-130,210.5,209.5,3,2
