,SEASON_ID,GAME_ID,MATCHUP,TEAM_ID,GAME_DATE,VH,Team,Final,Open,Close,ML
0,22007,0020700001,POR @ SAS,1610612757,2007-10-30,V,POR,97,184,189.5,900
1,22007,0020700001,SAS vs. POR,1610612759,2007-10-30,H,SAS,106,12.5,13,-1400
2,22007,0020700003,UTA @ GSW,1610612762,2007-10-30,V,UTA,117,214.5,212,100
3,22007,0020700003,GSW vs. UTA,1610612744,2007-10-30,H,GSW,96,3,1,-120
4,22007,0020700002,HOU @ LAL,1610612745,2007-10-30,V,HOU,95,2.5,5,-230
5,22007,0020700002,LAL vs. HOU,1610612747,2007-10-30,H,LAL,93,191,199,190
6,22007,0020700004,PHI @ TOR,1610612755,2007-10-31,V,PHI,97,190,191,255
7,22007,0020700004,TOR vs. PHI,1610612761,2007-10-31,H,TOR,106,6.5,6.5,-305
8,22007,0020700006,WAS @ IND,1610612764,2007-10-31,V,WAS,110,200,1.5,-125
9,22007,0020700006,IND vs. WAS,1610612754,2007-10-31,H,IND,119,1.5,203.5,105
10,22007,0020700005,MIL @ ORL,1610612749,2007-10-31,V,MIL,83,198.5,197,245
11,22007,0020700005,ORL vs. MIL,1610612753,2007-10-31,H,ORL,102,8,6.5,-295
12,22007,0020700007,CHI @ NJN,1610612741,2007-10-31,V,CHI,103,188,186,105
13,22007,0020700007,NJN vs. CHI,1610612751,2007-10-31,H,BKN,112,2,1.5,-125
14,22007,0020700008,DAL @ CLE,1610612742,2007-10-31,V,DAL,92,3,2.5,-140
15,22007,0020700008,CLE vs. DAL,1610612739,2007-10-31,H,CLE,74,186,184,120
16,22007,0020700009,SAS @ MEM,1610612759,2007-10-31,V,SAS,104,7,6.5,-250
17,22007,0020700009,MEM vs. SAS,1610612763,2007-10-31,H,MEM,101,198,201,210
18,22007,0020700010,SAC @ NOH,1610612758,2007-10-31,V,SAC,90,193,190.5,425
19,22007,0020700010,NOH vs. SAC,1610612740,2007-10-31,H,NOP,104,10,9.5,-525
20,22007,0020700011,SEA @ DEN,1610612760,2007-10-31,V,OKC,103,213,217.5,625
21,22007,0020700011,DEN vs. SEA,1610612743,2007-10-31,H,DEN,120,10.5,11.5,-825
22,22007,0020700012,DET @ MIA,1610612765,2007-11-01,V,DET,91,4,4,-190
23,22007,0020700012,MIA vs. DET,1610612748,2007-11-01,H,MIA,80,181,178.5,160
24,22007,0020700013,HOU @ UTA,1610612745,2007-11-01,V,HOU,106,191,193,140
25,22007,0020700013,UTA vs. HOU,1610612762,2007-11-01,H,UTA,95,3.5,3,-160
26,22007,0020700014,PHX @ SEA,1610612756,2007-11-01,V,PHX,106,9,12,-725
27,22007,0020700014,SEA vs. PHX,1610612760,2007-11-01,H,OKC,99,223,224.5,575
28,22007,0020700015,MIL @ CHA,1610612749,2007-11-02,V,MIL,99,200,196.5,150
29,22007,0020700015,CHA vs. MIL,1610612766,2007-11-02,H,CHA,102,2.5,4,-170
30,22007,0020700016,DET @ ORL,1610612765,2007-11-02,V,DET,116,184,183.5,150
31,22007,0020700016,ORL vs. DET,1610612753,2007-11-02,H,ORL,92,2.5,4,-170
32,22007,0020700017,MIA @ IND,1610612748,2007-11-02,V,MIA,85,186.5,192,235
33,22007,0020700017,IND vs. MIA,1610612754,2007-11-02,H,IND,87,6.5,6.5,-275
34,22007,0020700018,TOR @ NJN,1610612761,2007-11-02,V,TOR,106,192.5,193.5,155
35,22007,0020700018,NJN vs. TOR,1610612751,2007-11-02,H,BKN,69,5,4,-175
36,22007,0020700019,DAL @ ATL,1610612742,2007-11-02,V,DAL,94,6,5.5,-250
37,22007,0020700019,ATL vs. DAL,1610612737,2007-11-02,H,ATL,101,192,191,210
38,22007,0020700020,NYK @ CLE,1610612752,2007-11-02,V,NYK,106,186.5,186,210
39,22007,0020700020,CLE vs. NYK,1610612739,2007-11-02,H,CLE,110,7.5,6,-250
40,22007,0020700021,WAS @ BOS,1610612764,2007-11-02,V,WAS,83,208,205.5,285
41,22007,0020700021,BOS vs. WAS,1610612738,2007-11-02,H,BOS,103,6,7.5,-335
42,22007,0020700022,POR @ NOH,1610612757,2007-11-02,V,POR,93,192,203,275
43,22007,0020700022,NOH vs. POR,1610612740,2007-11-02,H,NOP,113,8,7.5,-325
44,22007,0020700023,DEN @ MIN,1610612743,2007-11-02,V,DEN,99,8.5,7.5,-375
